25 Toa Payoh Lorong 8,1.33904,103.85759,2.6,,2.6,,2.6,
Sheraton Towers Hotel,1.31074,103.83579,,0700-1759: 4; 1800-0659: 6,,0700-1759: 4; 1800-0659: 6,6,
Singapore Marriott Hotel,1.30537,103.83316,3,,3,,3,
Swissotel Merchant Court Hotel,1.284,103.842567,4.5,,4.5,,4.5,
Swissotel Stamford Hotel,1.29453,103.85391,,0800-1659: 2; 1700-0759: 2.5,2,,2,
"The Ritz Carlton, Millenia Singapore",1.29021,103.85951,,0700-1759: 3.3; 1800-0659: 2.2,2.2,,2.2,
Traders Hotel,1.30419,103.82372,,0600-1659: 2.4; 1700-0559: 3.5,,0600-1259: 2.4; 1300-0559: 3.5,3.5,
York Hotel,1.30615,103.83597,,0801-1759: 4; 1700-0800: 5,,0801-1759: 4; 1700-0800: 5,5,
313@Somerset,1.30054,103.83812,,0000-1759: 2; 1800-2359: 4.5,,0000-1759: 2; 1800-2359: 4.5,4.5,
Angullia Park Off-Street,1.28944,103.84998,1,,1,,1,
Atrium @ Orchard,1.29888,103.84646,,0000-1759: 1.07; 1800-2359: 2.14,,0300-1759: 2.14; 1800-0259: 2.14,,0300-1759: 2.14; 1800-2359: 2.14
Cathay Cineleisure Orchard,1.3014,103.836922,,0700-1759: 2.4; 1800-0659: 4.5,,0700-2359: 4.5,1.60 f,0700-2359: 4.5
ComCentre (Exeter Rd),1.29941,103.83877,,0700-1759: 3; 1800-0659: 3.5,,0700-1259: 3; 1300-2200 1pm-10pm: 3,3,
Concorde Hotel,1.30103,103.842133,,0700-1759: 2.14; 1800-0659: 3.75,,0700-1759: 2.14; 1800-0659: 3.75,3.7,
Delfi Orchard,1.30356,103.8348,,0800-1659: 3; 1700-2300: 4.07,,0800-1659: 3; 1700-2300: 4.07,,0800-2300: 4.07
Elizabeth Hotel,1.30615,103.835968,,0700-1759: 4; 1800-0659: 5,,0700-1759: 4; 1800-0659: 5,5,
Far East Plaza,1.30685,103.833321,,0800-1659: 2.14; 1700-0759: 3.53,,0800-1659: 2.14; 1700-0759: 3.53,3.53,
Far East Shopping Centre,1.30356,103.834801,,0800-1659: 2.57; 1700-2359: 3.75; 0000-0759: 3.75,,0800-1659: 2.57; 1700-2359: 3.75; 0000-0759: 3.75,3.75,
Forum The Shopping Mall,1.30356,103.834801,,0600-1659: 2.4; 1700-0559: 3.2,,"6am-5pm: $2.60 for 1st hr; $1.40 for sub. � hr, Aft 5pm: $3.20 per entry",3.2,
Four Seasons Hotel,1.30484,103.828949,,0600-1659: 6; 1700-0559: 6,,0600-1659: 6; 1700-0559: 6,6 per ent,0600-1659: 6; 1700-0559: 6
Goodwood Park Hotel,1.3073,103.833282,,0800-1759: 4; 1800-0759: 5,,0800-1759: 4; 1800-0759: 5,5,
Grand Hyatt Singapore,1.3073,103.833282,,0400-1659: 3.21; 1700-0359: 5.35,,0400-1659: 3.21; 1700-0359: 5.35,5.35,
Grand Park Orchard,1.30348,103.836761,,0800-1659: 3.5; 1700-0759: 5,,0800-1659: 3.5; 1700-0759: 5,,0800-1659: 3.5; 1700-0759: 5
Grange Road Off-Street,1.28944,103.84998,2,,,0700-1659: 2; 1700-0659: 1,1,
Hilton Hotel,1.30356,103.834801,7,,7,,7,
Holiday Inn Express Singapore,1.30348,103.836761,6,,6,,6,
Holiday Inn Singapore Orchard City Centre,1.30177,103.841568,3,,3,,3,
International Building,1.30177,103.8348,C,,C,,C,
ION Orchard,1.30285,103.833427,,0800-1659: 2.67; 1700-2359: 3; 0000-0759: 1.07,,0800-1659: 2.56; 1700-2359: 3.74; 0000-0759: 1.07,,0800-1659: 2.56; 1700-2359: 3.74; 0000-0759: 1.07
Liat Towers,1.30356,103.8348,,0700-1759: 2.5; 1800-2359: 3.5,,0700-1759: 2.5; 1800-2359: 3.5,,0700-1759: 2.5; 1800-2359: 3.5
Lucky Plaza,1.3073,103.833282,,0700-1659: 1.93; 1700-0659: 3.38,,0700-1659: 1.93; 1700-0659: 3.38,,0700-0959: 1.93; 1000-1859: 3.38
Mandarin Gallery,1.30356,103.8348,,0600-1759: 3.5; 1800-0559: 3.5,,0600-1759: 3.5; 1800-0559: 3.5,,0600-1759: 3.5; 1800-0559: 3.5
Meritus Mandarin Singapore,1.30356,103.834801,,0600-1759: 3.5; 1800-0559: 6,,0600-1759: 3.5; 1800-0559: 6,,0600-1759: 3.5; 1800-0559: 6
Ngee Ann City,1.30356,103.8348,,0001-1200: 1.28; 1201-1400: 1.82; 1401-1700: 1.28; 1701-1900: 1.82; 1901-0000: 4.28,,0001-1200: 2.57; 1201-1400: 3.64; 1401-1700: 2.57; 1701-1900: 3.64; 1901-0000: 4.28 ,,0001-1200: 2.57; 1201-1400: 3.64; 1401-1700: 2.57; 1701-1900: 3.64; 1901-0000: 4.28 
OG Orchard Point,1.30147,103.84083,,0700-2259:  2; 2300-0659: 4 ,,0700-2259:  2; 2300-0659: 4 ,,0700-2259:  2; 2300-0659: 4 
Orchard Building,1.30079,103.83505,,0700-1659: 2.2; 1700-0059: 3.6,,0700-1659: 2.2; 1700-0059: 3.6,,0700-1659: 3.6; 1700-0059: 3.6
Orchard Central,1.30356,103.8348,,0200-1759: 2; 1800-0159: 4.5,,0200-1759: 2; 1800-0159: 4.5,4.5,
Orchard Hotel Shopping Arcade,1.30356,103.834801,,0700-1759: 5; 1800-0659: 5.5,,0700-1759: 5; 1800-0659: 5.5,5,
Orchard Parade Hotel,1.30603,103.826729,4,,4,,4,
Orchard Plaza,1.30356,103.834801,,0700-1659: 1.39; 1700-0659: 3.85,,0700-1659: 1.39; 1700-0659: 3.85,,0700-1659: 1.39; 1700-0659: 3.85
Orchard Towers,1.3072,103.8295,,0700-1759: 5; 1800-0159: 9; 0200-0659: 9,,0700-1759: 5; 1800-0159: 9; 0200-0659: 9,9,
orchardgateway,1.3005,103.838287,,0000-1759: 3; 1800-2359: 4.8,4.8,,4.8,
Pacific Plaza,1.3073,103.83328,,0800-1759: 1.5; 1800-0759: 3,,0800-1759: 1.5; 1800-0759: 3,,0800-1759: 1.5; 1800-0759: 3
Palais Renaissance,1.30356,103.8348,,0700-1659: 2.8; 1700-0059: 3.8; 0100-0659: 1.5,,0700-1659: 2.8; 1700-0059: 3.8; 0100-0659: 1.5,,0700-0059: 3.8; 0100-0659: 1.5
Pan Pacific Orchard,1.30742,103.829071,,0700-1659: 5; 1700-0659: 5,,0700-1659: 5; 1700-0659: 5,5,
Paragon Shopping Centre,1.30356,103.834801,,0800-1759: 2.58; 1800-0759: 3.48,,0800-1759: 2.58; 1800-0759: 3.48,,0300-1759: 3.48; 1800-0259: 3.48
Penang Road Off-Street,1.28944,103.84998,1,,1,,1,
Plaza Singapura,1.30042,103.8452,, 0000-1759: 1.07; 1800-2359: 2.14,,0300-1759: 2.14; 1800-0259: 2.14,,0300-1759: 2.14; 1800-2359: 2.14
Regent Hotel,1.30505,103.826332,,0700-1759: 5; 1800-0659: 6,,0700-1759: 5; 1800-0659: 6,,0700-1759: 5; 1800-0659: 6
Royal Plaza On Scotts,1.3073,103.833282,,0800-1759: 4; 1800-0759: 5.5,,0800-1759: 4; 1800-0759: 5.5,5.5,
Scape,1.28944,103.84998,,0700-1659: 1.95; 1700-0659: 4.9,1.95,,,0700-1659: 1.95; 1700-0659: 4.9
Shangri-la Hotel,1.311,103.826302,,0700-1659: 6; 1700-0659: 8,,0700-1659: 6; 1700-0659: 8,,0700-1659: 6; 1700-0659: 8
Shaw Centre,1.3073,103.83328,,0301-1800: 2; 1801-0300: 4,,0301-1800: 2; 1801-0300: 4,,0301-1800: 2; 1801-0300: 4
Shaw House,1.30356,103.8348,,0301-1800: 2; 1801-0300: 4 ,,0301-1800: 2; 1801-0300: 4 ,,0301-1800: 2; 1801-0300: 4 
Sheraton Towers Singapore,1.31074,103.835793,,0700-1759: 4; 1800-0659: 6,,0700-1759: 4; 1800-0659: 6,6,0700-1759: 4; 1800-0659: 6
Singapore Marriott Hotel,1.30537,103.83316,3,,3,,3,
Singapore Shopping Centre,1.29615,103.8439,,0800-1959: 2.5; 2000-0759: 3,,0800-1959: 2.5; 2000-0759: 3,,0800-1959: 2.5; 2000-0759: 3
Starhub Centre,1.30273,103.84071,,0700-1759: 2; 1800-0659: 2,,0700-1759: 2; 1800-0659: 2,,0700-1759: 2; 1800-0659: 2
Tanglin Mall,1.30079,103.835052,,0600-1659: 2.4; 1700-0659: 3.5,,"0600-1259: 2.4; 1300-0659: 3.5Charges same as wkdays, but $3.50 per entry after 1pm",3.5,
Tanglin Shopping Centre,1.30603,103.82673,,0800-1759: 3; 1800-0759: 3.6,,0800-1759: 3; 1800-0759: 3.6,3.6,
Tangs,1.30537,103.83316,,0600-1759: 3; 1800-0559: 6,,0600-1759: 3; 1800-0559: 6,,0600-1759: 3; 1800-0559: 6
The Cathay,1.299389,103.847397,,0800-0959: 2.8; 1000-2159: 1.4; 2200-0759: 3,,0800-2159: 1.4; 2200-0759: 3,,0800-2159: 1.4; 2200-0759: 3
The Centrepoint,1.30115,103.83945,,0700-1659: 2; 1700-0659: 2,,0700-1659: 2; 1700-0659: 2,2,
The Heeren,1.30356,103.8348,3,,,0800-2300: 5,,0800-2300: 5
Traders Hotel,1.30419,103.823723,,0600-1659: 2.4; 1700-0559: 3.5,,0600-1259: 2.4; 1300-0559: 3.5,3.5,
TripleOne Somerset,1.30054,103.83812,,0700-1759: 3; 1800-2359: 1.8; 0000-0659: 2,,0700-1759: 2; 1800-2359: 1.8; 0000-0659: 2,,0700-2359: 1.8; 0000-0659: 2
Wheelock Place,1.30356,103.834801,,0800-1759: 3; 1800-0759: 4.5,,0800-1759: 3; 1800-0759: 4.5,,0800-1759: 3; 1800-0759: 4.5
Winsland House,1.29933,103.84039,,0700-1859: 2.5; 1900-2259: 3.5; 2300-0659: 3.5,,0700-1859: 2.5; 1900-2259: 3.5; 2300-0659: 3.5,,0700-2259: 4.5; 2300-0659: 3.5
Wisma Atria,1.30356,103.834801,,0700-1659: 2.4; 1700-0659: 3.5,3.6,,3.6,
York Hotel,1.30615,103.835968,,0801-1800: 4; 1801-0800: 5,,0801-1800: 4; 1801-0800: 5,5,
Changi Chapel and Museum (The Changi Museum),1.3618,103.9719,F,,F,,F,
Chinatown Heritage Centre,1.28333,103.84445,C,,C,,C,
Chinese Garden,1.33784,103.72639,,0600-1759: F; 1800-0559: 1,,0600-1759: F; 1800-0559: 1,,0600-1759: F; 1800-0559: 1
Haw Par Villa,1.28073,103.785027,,0900-1859: 5 ,,0900-1859: 5 ,,0900-1859: 5 
Hay Dairies Goat Farm,1.43219,103.70888,,0900-1559: F,,0900-1559: F,,0900-1559: F
Jurong Bird Park,1.32,103.70844,,0800-1700: 2,,0800-1700: 2,,0800-1700: 2
Labrador Secret Tunnel ( Labrador Park ),1.28944,103.84998,F,,F,,F,
Mandai Orchid Garden,1.3873,103.7296,F,,F,,F,
Memories at Old Ford Factory,1.35542,103.76874,F,,F,,F,
Mount Faber (Jewel Box),1.26983,103.82177,5,,5,,5,
National Museum of Singapore,1.29497,103.84978,C,,C,,C,-
Reflections at Bukit Chandu,1.27781,103.79436,F,,F,,F,
