FALSE,East Coast Park E1/E2/E3 Off-Street,1.28944,103.84998,Daily: 0700-0700: $0.50 /30 Mins (Per Minute Charging),-,-,-,1,,1,,1,,END
FALSE,Eastpoint Mall,1.34269,103.95255,Daily: $1.20 for 1st hr or part thereof. $0.30 for sub. 15 mins or part thereof.,-,Same as wkdays,Same as wkdays,1.2,,1.2,,1.2,,END
FALSE,Grand Mecure Roxy Hotel,1.30339,103.90679,Daily: $1.60 per hr,-,-,-,1.6,,1.6,,1.6,,END
FALSE,IKEA (Tampines),1.37264,103.93384,Daily free: 7am-11pm,-,-,-,,0700-2300: F,,0700-2300: F,,0700-2300: F,END
FALSE,Katong Shopping Centre,1.30461,103.90093,7am-6pm: $1 per hr,Aft 6pm: $2 per entry,Same as wkdays,$2 per entry,,0700-1800: 1; 1801-0659: 2 ,,0700-1800: 1; 1801-0659: 2 ,2,,END
FALSE,Katong Village,1.30367,103.903458,8am-6pm: $2.20 per hr,Aft 6pm: $6 per entry,Same as wkdays,Same as wkdays,,0800-1800: 2.2; 1801-0759: 6,,0800-1800: 2.2; 1801-0759: 6,,0800-1800: 2.2; 1801-0759: 6,END
FALSE,Lifelong Learning Institute,1.31909,103.89322,6am-5:59pm: $0.90 per ½ hr. Full Day Parking-6am-11:59pm: $16.,6pm-11.59pm: $3.21 per entry; 12am-5.59am: $12 per entry,Same as wkdays,6am-11:59pm: $3.21 per entry; 12am-5.59am: $12 per entry,,0600-1759: 1.8; 1800-2359: 3.21; 0000-0559: 12,,0600-1759: 1.8; 1800-2359: 3.21; 0000-0559: 12,,0600-2359: 3.21; 0000-0559: 12 ,END
FALSE,Paramount Hotel,1.30306,103.90321,8am-5pm: $0.60 per ½ hr,Aft 5pm: $2.50 per entry,Same as wkdays,$2.50 per entry,,0800-1700: 1.8; 1701-0759: 2.5,,0800-1700: 1.8; 1701-0759: 2.5,2.5,,END
FALSE,Parkway Parade,1.30128,103.904877,6am-6pm: $1 for 1st hr;  $0.40 for sub. ½ hr,6pm-2am: $1.50 per entry; Aft 2am: $20 per entry,6am-10am: $0.50 for 1st hr; $0.40 for sub.15 mins; 10am-6pm: $1.30 for 1st hr; $0.40 for sub. 15 mins; 6pm-2am: $2.10 per entry. Aft 2am: $20 per entry,Same as Saturday,,0600-1800: 1; 1800-0159: 1.5; 0200-0559: $20,,0600-1000: 0.5; 1001-1800: 1.3; 1800-0159: 2.1;  0200-0559: $20,,0600-1000: 0.5; 1001-1800: 1.3; 1800-0159: 2.1;  0200-0559: $20,END
FALSE,Roxy Square,1.30339,103.906792,7am-6pm: $1.20 for 1st hr; $1.40 for sub. hr,5pm-12am: $2.50 per entry,Same as wkdays,Same as wkdays,,0700-1800: 1.2; 1700-0000: 2.5,,0700-1800: 1.2; 1700-0000: 2.5,,0700-1800: 1.2; 1700-0000: 2.5,END
FALSE,Singapore Expo,1.33648,103.960632,Daily: $3.20 for 1st 2hrs; $1.50 for sub. ½ hr (Maximum Daily Charge:$20),-,Same as wkdays,Same as wkdays,3.2,,3.2,,3.2,,END
FALSE,Singapore Post Centre,1.32276,103.898277,7am-5pm: $1.60 for 1st hr. $1.00 for next sub  ½ hr,5pm-12am: $3/entry. 12am-7am: $1.60 for 1st hr. $1.00 for next sub ½ hr.,7am-1pm: $1.60 for 1st hr. $1 for next sub  ½ hr. 1pm-12am: $3 per entry; 12am-7am $1.60 for 1st hr. $1.00 for next sub ½ hr.,7am-12am: $3 per entry; 12am-7am $1.60 for 1st hr. $1.00 for next sub ½ hr .,,0700-1700: 1.6; 1700-0000: 3; 0001-0659: 1.60,,0700-1300: 1.6; 1301-0000: 3; 0001-0659: 1.60,,0700-0000: 3; 0000-0700:  1.6,END
FALSE,Tampines 1,1.35399,103.94425,1st hr $1.07; 2nd hr $0.55 per ½ hr; Aft 2hrs: $0.35 per 15 mins,1st hr $1.07; 2nd hr $0.55 per ½ hr; Aft 2hrs: $0.35 per 15 mins,1st hr $1.28; 2nd hr $0.60 per ½ hr; Aft 2hrs: $0.45 per 15 mins,Same as Saturday,1.07,,1.28,,1.28,,END
FALSE,Tampines Junction,1.35312,103.94225,8am-5pm: $1 for 1st hr; $0.50 for sub. ½ hr,Aft 5pm: $2 per entry,Charges same as wkdays. but closed after 2pm,Closed,,0800-1700: 1;  1701-0759: 2,,0800-1400: 1;,C,,END
FALSE,Tampines Mall,1.35282,103.944283,12am-5:59pm: $1.07 for 1st hr; $0.32 for sub. 15mins,Mon-Thu: 6pm-11.59pm: $2.14 per entry; Fri & Eve of PH: 6pm-2.59am: $2.14 per entry,3am-5.59pm: $2.14 for 1st 2hrs; $0.32 for sub. 15mins; 6pm-2.59am: $2.14 per entry,3am-5.59pm: $2.14 for 1st 2hrs; $0.32 for sub. 15mins; 6pm-11.59am: $2.14 per entry,,0000-1759: 1.07; 1800-2359: 2.14,,0300-1759: 2.14; 1800-0259: 2.14,,0300-1759: 2.14; 1800-2359: 2.14,END
FALSE,Tampines Plaza (Compaq Centre),1.35399,103.944252,8am-5pm: $1 per ½ hr,Aft 5pm: $2 per entry,Same as wkdays,$2 per entry,,0800-1700: 2; 1701-0759: 2,,0800-1700: 2; 1701-0759: 2,2,,END
FALSE,Telepark,1.35399,103.944252,Daily: 7am-10pm: $0.70 per ½ hr (An additional surcharge of $22 per exit after 10pm),-,-,-,,0700-2200: 1.4,,0700-2200: 1.4,,0700-2200: 1.4,END
FALSE,White Sands Shopping Centre,1.37324,103.950188,7am-7pm: $1.20 per hr for 1st 2hrs; $1.20 for sub. ½ hr,Aft 7pm: $2 per entry,Same as wkdays,Same as wkdays,,0700-1900: 1.2; 1901-0659: 2,,0700-1900: 1.2; 1901-0659: 2,,0700-1900: 1.2; 1901-0659: 2,END
FALSE,Amara Hotel,1.2742,103.84403,8am-4.59pm: $2 per ½ hr,5pm-7.59am (the following day) : $3 per entry,Same as wkdays,$3 per entry,,0800-1659: 4; 1700-0759: 3 ,,0800-1659: 4; 1700-0759: 3 ,3,,END
FALSE,Berjaya Hotel,1.28417,103.845207,8.30am-5pm: $1 per ½ hr,5pm-10pm: $1 per hr; Aft 10pm: Free,Same as wkdays,8.30am-10pm: $1 per hr. Aft 10pm: Free,,0830-1700: 2; 1700-2200: 1; 2201-0829: F,,0830-1700: 2; 1700-2200: 1; 2201-0829: F,,0830-2200: 1; 2201-0829: F,END
FALSE,Carlton Hotel,1.29453,103.85391,7am-6pm: $3 for 1st hr; $1.50 for for sub. ½ hr,Aft 6pm: $6 per entry,Same as wkdays,Same as wkdays,,0700-1800: 3; 1801-0659: 6 ,,0700-1800: 3; 1801-0659: 6 ,,0700-1800: 3; 1801-0659: 6 ,END
FALSE,Changi Village Hotel,1.39134,103.981552,8am-6pm: $2 for 1st hr; $1.50 for sub. hr,Aft 6pm: $5.35 per entry,Same as wkdays,Same as wkdays,,0800-1800: 2; 1800-0759: 5.35,,0800-1800: 2; 1800-0759: 5.35,,0800-1800: 2; 1800-0759: 5.35,END
